TGAS,HIP,cat,tenc,tenc.5per,tenc.95per,denc,denc.5per,denc.95per,venc,venc.5per,venc.95per
5140501942602437632,NULL,rt,-6.653,-7.7,-5.51,1.93107321418876,0.511230641125184,72.3845542098905,40.2287314714446,38.654882667695,43.6117642796391
3592166163675069440,NULL,rt,-6.284,-7.538,-4.779,4.53982685504795,0.477329453446317,118.905311607725,43.610329977167,41.3050863671982,48.6470476931709
6792031388922297344,NULL,rt,-6.022,-9.549,-4.242,2.4102882069995,0.415445887808468,186.60050808101,84.5608086169838,79.3086367999371,91.6964667377064
NA,51966,xh,-5.018,-6.001,-4.157,4.50940813282715,0.326468326546247,15.2986825347175,7.87727419366918,6.59765667228923,9.48171631863728
NA,92403,xh,-0.021,-0.022,-0.02,2.92654635637996,2.87400456211332,2.9566217917746,21.4399589253654,21.3883988772126,21.4903108803007
4219876355539559936,NULL,rt,-4.697,-5.507,-4.035,2.34872282041295,0.054324173107423,18.3184087959126,35.2024877944453,31.6638834972324,38.5915302694128
NA,103749,xh,-4.371,-4.711,-4.034,1.95440368126986,0.050247873689644,6.20850589153467,12.0690263118973,11.427610743711,12.7357237180506
6347346143135899648,NULL,rt,-3.876,-4.42,-3.429,4.12218042435105,1.15147960428564,9.85954836150517,33.9400383786653,30.2105243399876,37.5022479322343
5858331783973637120,63797,xt,-2.882,-3.629,-2.413,2.15745827981697,0.552692495678897,6.47820007328397,40.1612902601921,32.2135640821071,47.6853707074521
1439617821519645696,87572,xt,-3.035,-3.881,-2.479,3.59199377012423,1.8983513302618,8.40598047810845,36.3442142226293,28.9945018478932,43.3362696311169
NA,97022,xh,-2.884,-3.16,-2.62,3.46036256576052,0.0499367791942164,9.34688324047541,23.5397089428,22.1985808761693,24.8482806971156
NA,31143,xh,-1.995,-3.469,-1.4,4.96407295985235,1.92283030022347,12.3032061835922,18.1269603546856,10.284941841242,25.7318820637529
NA,107556,xh,-1.568,-1.894,-1.345,3.30713038272237,2.38116434799866,4.02891106855245,7.137276241587,5.81987070364143,8.39904250349547
4519789317615000064,93873,xt,-0.127,-0.127,-0.126,3.39068589206083,3.32622577280829,3.4252745112772,62.7187085916074,62.561028456048,62.8789185116571
2463221743494373888,9406,xt,-1.554,-1.643,-1.473,4.50423552542764,2.21806449481244,5.83706139331365,34.3167983769139,32.5865742120855,35.9681120808516
2974596320876422144,NULL,rt,-1.583,-2.363,-1.201,4.1744411322661,2.47641140163835,6.09527952710808,38.34370191202,25.5917191865585,50.4077276170671
3633065144370063360,67092,xt,-1.67,-4.449,0,4.82410056043892,1.60738618983007,29.5096277277669,17.2763539936092,4.08998477791941,33.4802664401723
2603089827390642688,113020,xt,-0.805,-0.833,-0.777,2.35975162372373,2.13540932837676,2.49859547702901,4.91088766535656,4.64835574788412,5.17182883339799
3179384931394690048,20723,xt,-1.29,-1.311,-1.266,4.84822153677278,4.00728685035889,5.29719473897542,29.6636669176884,29.367578754624,29.952493744016
NA,25119,xh,-1.163,-1.23,-1.103,3.53065108754313,2.27856865680701,4.00875311645484,16.786024644974,16.5337706328024,17.0494802432639
4519789077096836608,93899,xt,-0.128,-0.128,-0.127,3.42409008515299,3.34687140407087,3.46296035247077,62.4987568876251,62.3364336474979,62.6668906963707
1344497764930721536,87382,xt,-1.188,-1.209,-1.168,2.48302758644049,2.42128313158342,2.50894507652197,27.7978152510609,27.6429090947495,27.944925342379
NA,6711,xh,-1.074,-1.113,-1.034,2.09251962098535,1.70153973641518,2.51597551421378,38.0125295658344,37.3252223443234,38.6723510830186
NA,112748,xh,-1.084,-1.103,-1.064,4.53123192841726,4.16365388947254,4.7793052346164,29.1271333964916,28.8116003326226,29.4613589686407
NA,19255,xh,-0.882,-0.898,-0.865,3.15975023040461,2.66942648507018,3.52850052682696,22.3881102161244,22.2092134474561,22.5815397302335
225668198891010560,19335,xt,-0.925,-0.948,-0.9,3.63059969094979,3.40809168784844,3.87014213043425,22.1903429591405,21.8890332810182,22.4902118253136
NA,47058,xh,-1,-1.118,-0.901,4.9812951339268,3.48774336361825,6.5645576104938,45.8708077759964,45.433927622191,46.4052204959296
4293318818833464832,94761,xt,-0.076,-0.076,-0.076,2.78563976218009,2.74600566929481,2.80717188820746,66.5478664719789,66.3833549879926,66.7096854025713
5663679227554026496,47645,rt,-0.972,-1.032,-0.923,3.1306777485048,2.8272782882804,3.33144866183685,31.6370315692498,29.9710580046721,33.2210300251123
4020137733208048640,58019,xt,-0.96,-1.509,-0.715,4.51740137841336,2.64696564355067,7.12524321528793,46.898293480871,29.7636668135955,63.1579322929534
NA,37766,xh,-0.571,-0.591,-0.549,3.5740865440233,3.22155068502378,3.77638739675128,8.19734447707531,7.79687378081637,8.60560572960451
3844124407140189184,45737,xt,-0.79,-0.798,-0.782,3.97848348323693,3.46503530642971,4.24493685367023,34.9534531981845,34.8042129989489,35.1107110050159
NA,88635,xh,-0.861,-1.009,-0.756,4.21411492953574,3.21577624090897,5.00575902695222,33.4484555044558,28.480418047204,38.156172463156
4281201410420247552,92984,xt,-0.784,-0.796,-0.772,2.45206016318432,2.33120228803406,2.50539131105836,33.2356125527594,33.0812061625185,33.385597517646
2894448451563327488,NULL,rt,-0.691,-0.717,-0.666,3.61087299933949,2.82258799906198,4.044339477986,56.1925743689225,54.5635762470744,57.7476291252822
5432246838952468480,NULL,rt,-0.733,-0.759,-0.707,2.6448332412343,2.19249620043482,2.9323102442942,47.3145125147492,45.9549307718539,48.6005636167997
NA,62145,xh,-0.625,-0.632,-0.618,4.30598804445589,3.49937875925824,4.69815779251667,22.3560167109887,22.0715261786053,22.6531441620323
6774011080537564160,NULL,rt,-0.788,-0.819,-0.761,3.635141766282,2.89951055543326,4.00096755363863,66.0425736294427,64.9962156615831,67.0387337859437
43335532821872896,17405,xt,-0.643,-0.782,-0.545,4.8290369252308,3.44232010551526,6.00170893099947,25.2118040903971,20.2081443384975,29.998957230152
NA,24608,xh,-0.493,-0.498,-0.488,1.74807118570715,1.62943576028758,1.81883795464877,25.870335869258,25.759434874216,25.9914122232714
2903280759747942400,NULL,rt,-16.042,-33.079,-10.581,4.59138336809171,2.22242064375896,432.845208304149,63.6659323645155,59.5960098759286,70.3619456796992
5656160389085012992,NULL,rt,-0.64,-0.696,-0.593,4.53334266359891,3.64139800620148,5.15544659536357,69.4716105998253,63.9854018419943,74.6140397564004
6714904462165814272,92519,xt,-0.649,-0.667,-0.633,3.43039050111669,3.3724663052396,3.46914632194624,76.2732269348838,75.754456503081,76.7596408344953
6658015696183734272,NULL,rt,-0.624,-0.698,-0.564,3.78707495836752,2.19243934424502,4.1744377254402,96.6972894656974,95.0530001893252,98.2883782926727
