TGAS.ID,HIP.ID,cat,ra,dec,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,rv,erv,qrv,tenc,tenc.5per,tenc.95per,denc,denc.5per,denc.95per,venc,venc.5per,venc.95per
NA,103039,xh,313.137569968346,-16.9748620149959,175.03,-307.74,34.79,2.77,2.01,3.4,3.86,4.26,0.154191326019939,-0.0175442774220495,-0.0814414395401189,0.00505144620196731,-0.0265920345944879,-0.0169687700268183,-0.0354846186959833,0.0860697418111019,-0.14247491638796,0.153846153846154,16.3,0.1,A,-0.097,-0.099,-0.094,3.99493020620789,3.73929362200874,4.14078508551723,41.134846132518,40.8985909615522,41.369288671226
NA,14181,xh,45.7177940122546,47.1107826301492,20.75,65.59,-61.19,0.46,0.36,0.59,0.48,0.44,0.729664035311094,-0.0605058993294283,-0.489523809523809,-0.554000509294627,-0.980778371954841,-0.699999999999999,-0.201782531194296,0.499999999999999,-0.0784313725490197,-8.32667268468867e-17,97.2,0.16,A,-0.474,-0.498,-0.452,2.93191166449169,2.18118282051778,3.19210722437387,99.509670558796,99.2541546530447,99.7846063696104
NA,21421,xh,68.9801627912526,16.5100239972247,48.94,63.45,-188.94,0.64,0.43,0.77,0.84,0.65,0.723223728394859,0.22710013490212,-0.213635822936131,-0.109616914752419,-0.488767882801883,0.249002605845075,0.376328165190158,-0.510354675482434,-0.543987024021009,0.867768595041322,54.26,0.03,A,-0.486,-0.501,-0.473,2.60098250517432,2.37837520043843,2.70156795554875,40.8582518615474,40.7947836895683,40.9232263719009
NA,48714,xh,149.036126478822,62.7906899205878,94.68,-304.27,-582.81,0.67,0.79,1.26,0.8,0.83,0.168935183755135,0.293498788245671,0.118738999740358,-0.161953224001223,0.138758799427264,-0.162058928146392,-0.0710229246514001,0.122905830432078,-0.120576414077051,0.188118811881188,15.49,0.1,A,-0.391,-0.393,-0.389,4.28876425332292,3.71028081181861,4.6112273329884,24.1854678458868,23.9112250423827,24.4671463387589
6088054500713603072,64550,xt,198.467606875452,-45.1861111288005,40.2058925448644,-110.056248239143,-111.45303433112,0.259657083225963,0.420175216235683,0.270225768311886,0.0338228369437095,0.03646638227021,-0.6950237,0.23353921,0.2949048,-0.35576725,-0.4437991,-0.2325878,0.49981752,0.112520054,-0.20479803,-0.18576552,59,0.65,A,-0.466,-0.478,-0.455,4.14944755200283,3.97815109304513,4.23942318639822,51.549842870287,50.4342761569908,52.5876865792807
1362592668307182592,86916,xt,266.389767366089,46.8554696898833,49.4106872350285,-31.5191339544029,22.4186015909447,0.315640564681817,0.383347859487877,0.39096646763381,0.0821475714827152,0.0778620328702067,-0.022790289,-0.44280034,0.15591745,-0.007967648,0.24047096,-0.022748526,0.18569146,-0.11103766,0.043798044,-0.06611106,18,3.7,B,-0.455,-0.533,-0.399,1.78364475548048,1.3868689380149,2.09113924869007,43.4306655970119,37.0471969114548,49.462926961432
NA,108706,xh,330.304689468223,28.3067644527158,112.33,374.05,37.45,2.32,2.62,3.05,2.74,3.27,0.0547818378480998,0.0316635483476248,0.00822034705173415,-0.00583743078466117,0.0355241434381986,-0.0113674576765544,-0.121952738596813,-0.0172570459044208,0.018252427184466,0.087378640776699,-4,0.3,A,-0.448,-0.472,-0.425,4.15593992323217,3.79734881166716,4.40440024995877,17.2174295574254,16.7972406495198,17.6845409553141
NA,3821,xh,12.276211503892,57.8173245141461,167.98,1086.59,-559.43,0.3,0.27,0.48,0.4,0.33,-137.065380415396,1.00675261951642,-104.221211171801,22.5834493642322,-0.0760055631936648,24.029566956335,-5.1925535896043,-0.726811088373135,0.195146809312855,-4.17540531624107,8.44,0.09,A,-0.217,-0.218,-0.216,2.89245390322478,2.78750969983027,2.93975947254487,23.4153847925906,23.2650076072732,23.5741959643078
NA,21553,xh,69.4205488061625,52.8954302366025,98.91,305.54,-475.51,0.67,0.48,1.01,0.87,0.66,-0.283903195383045,0.22238770501525,0.203667201555668,-0.413776753756554,-0.445561462149313,-0.264244902617164,0.822831710286062,0.039316037735849,-0.534433962264151,0.0500000000000001,34.29,0.09,A,-0.281,-0.286,-0.277,1.08423617695709,0.99066417665974,1.15104894399497,34.924399932711,34.7843883629981,35.0827335674878
6562924982812531712,106440,xt,323.391563936564,-49.0112697611585,201.118290812559,-46.0449541087553,-816.333541593585,0.234962060112019,0.297189926316708,0.511674656021943,0.0447193808652665,0.0429908881027451,0.0153680425,0.20038962,0.1515093,-0.016381493,-0.4144809,0.0043129344,0.25673452,0.013686422,-0.1379288,0.2868735,4.3,1.8,A,-0.062,-0.102,-0.007,4.86047591709367,4.28126530371732,4.97000716520786,16.6356795088349,16.273976090651,17.5017143427555
1669449080671046144,71898,xt,220.5899200229,66.055682047318,91.1823010634318,-301.105621866836,-38.107533151024,0.252883750339792,0.321510803744668,0.295332345586936,0.0931470104409071,0.11431663425429,-0.24351612,-0.043606646,0.016036639,-0.02571217,-0.19948225,-0.0003585959,0.11491482,0.033903442,-0.08532442,0.19879706,18.7,0.1,A,-0.282,-0.284,-0.28,2.02789229800676,2.00983380570854,2.03719553844756,37.3412265510791,37.1831046355615,37.5046635070683
5994771143940476928,78170,xt,239.419767024209,-42.6247643737064,67.7934161992432,-257.138273384583,-190.881659215256,0.217853064150369,0.100269947318792,0.229895898162499,0.077529531544282,0.0578698324930536,-0.0022107728,0.10285226,0.027221896,0.0053694863,0.061957456,0.026254352,-0.11684935,0.017583854,0.04101444,-0.1863628,35.2,0.3,A,-0.363,-0.368,-0.358,3.64896469257727,3.5616006092959,3.7000257016416,38.6022474616118,38.0995451071172,39.075172891232
